period,stateId,population
1970,AL,3444354
1970,AK,302583
1970,AZ,1775399
1970,AR,1923322
1970,CA,19971069
1970,CO,2209596
1970,CT,3032217
1970,DE,548104
1970,DC,756668
1970,FL,6791418
1970,GA,4587930
1970,HI,769913
1970,ID,713015
1970,IL,11110285
1970,IN,5195392
1970,IA,2825368
1970,KS,2249071
1970,KY,3220711
1970,LA,3644637
1970,ME,993722
1970,MD,3923897
1970,MA,5689170
1970,MI,8881826
1970,MN,3806103
1970,MS,2216994
1970,MO,4677623
1970,MT,694409
1970,NE,1485333
1970,NV,488738
1970,NH,737681
1970,NJ,7171112
1970,NM,1017055
1970,NY,18241391
1970,NC,5084411
1970,ND,617792
1970,OH,10657423
1970,OK,2559463
1970,OR,2091533
1970,PA,11800766
1970,RI,949723
1970,SC,2590713
1970,SD,666257
1970,TN,3926018
1970,TX,11198655
1970,UT,1059273
1970,VT,444732
1970,VA,4651448
1970,WA,3413244
1970,WV,1744237
1970,WI,4417821
1970,WY,332416
1971,AL,3497076
1971,AK,315510
1971,AZ,1895814
1971,AR,1972312
1971,CA,20345939
1971,CO,2303524
1971,CT,3060938
1971,DE,564708
1971,DC,749781
1971,FL,7158304
1971,GA,4711550
1971,HI,801644
1971,ID,738753
1971,IL,11202397
1971,IN,5253396
1971,IA,2851705
1971,KS,2246600
1971,KY,3298053
1971,LA,3710487
1971,ME,1015390
1971,MD,4018324
1971,MA,5737580
1971,MI,8974186
1971,MN,3853486
1971,MS,2265432
1971,MO,4725764
1971,MT,710814
1971,NE,1504604
1971,NV,520018
1971,NH,761851
1971,NJ,7281107
1971,NM,1053737
1971,NY,18357982
1971,NC,5203531
1971,ND,626760
1971,OH,10734818
1971,OK,2618601
1971,OR,2151022
1971,PA,11886400
1971,RI,963107
1971,SC,2662269
1971,SD,671297
1971,TN,4013608
1971,TX,11509848
1971,UT,1101192
1971,VT,454318
1971,VA,4750838
1971,WA,3447553
1971,WV,1770657
1971,WI,4462155
1971,WY,340285
1972,AL,3539400
1972,AK,324464
1972,AZ,2008291
1972,AR,2018638
1972,CA,20585469
1972,CO,2404619
1972,CT,3068699
1972,DE,572913
1972,DC,742241
1972,FL,7511463
1972,GA,4809490
1972,HI,828331
1972,ID,763237
1972,IL,11251948
1972,IN,5302435
1972,IA,2860287
1972,KS,2256375
1972,KY,3335728
1972,LA,3761646
1972,ME,1034292
1972,MD,4073499
1972,MA,5760302
1972,MI,9028944
1972,MN,3869747
1972,MS,2307117
1972,MO,4758780
1972,MT,718732
1972,NE,1519013
1972,NV,546789
1972,NH,781107
1972,NJ,7335042
1972,NM,1078697
1972,NY,18339400
1972,NC,5301150
1972,ND,631119
1972,OH,10746993
1972,OK,2658646
1972,OR,2197297
1972,PA,11908233
1972,RI,974790
1972,SC,2719197
1972,SD,677234
1972,TN,4094611
1972,TX,11759148
1972,UT,1135449
1972,VT,463143
1972,VA,4824472
1972,WA,3447885
1972,WV,1797648
1972,WI,4502412
1972,WY,347345
1973,AL,3579780
